year,quarter,sold_price_ind,date,mspus,msptfc,constr_price_ind,cpi,ffr,fmr_1,sold_corrected,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,real_ffr
2004,1,91.33,2004-01-01,212700,174200,88.9,186.3,1,358.5886627906977,2328.917113763276,2392.5759280089987,1907.3688820759883,1959.5050618672665,4.033618254113585,0.0053676865271068165
2004,2,91.8,2004-04-01,217600,187300,91.4,187.4,1,358.5886627906977,2370.3703703703704,2380.7439824945295,2040.3050108932462,2049.234135667396,3.9232895272505215,0.005336179295624333
2004,3,94.82,2004-07-01,213500,212800,93.6,189.1,1.26,358.5886627906977,2251.634676228644,2280.9829059829062,2244.2522674541237,2273.5042735042734,3.831075457165574,0.006663141195134849
2004,4,95.05,2004-10-01,228800,184800,95.1,190.8,1.76,358.5886627906977,2407.154129405576,2405.888538380652,1944.2398737506576,1943.217665615142,3.7706483994815745,0.009224318658280922
2005,1,96.52,2005-01-01,232500,218200,96.7,191.6,2.28,393.63860667634253,2408.827186075425,2404.343329886246,2260.67136344799,2256.4632885211995,4.070719820851526,0.011899791231732775
2005,2,99.16,2005-04-01,233700,212600,97.1,193.7,2.79,393.63860667634253,2356.797095603066,2406.7971163748716,2144.0096813231144,2189.495365602472,4.053950635183755,0.014403717088280848
2005,3,101.36,2005-07-01,236400,194400,100.7,194.9,3.26,393.63860667634253,2332.2809786898183,2347.5670307845085,1917.9163378058406,1930.4865938430983,3.9090229064184956,0.016726526423807078
2005,4,103.92,2005-10-01,243600,243800,101.8,199.1,3.78,393.63860667634253,2344.110854503464,2392.9273084479373,2346.035411855273,2394.891944990177,3.866783955563286,0.018985434455047714
2006,1,104.07,2006-01-01,247700,258000,104.4,199.3,4.29,423.1794500723589,2380.128759488806,2372.605363984674,2479.1006053617757,2471.2643678160916,4.053443008355928,0.021525338685398895
2006,2,105.66,2006-04-01,246300,222700,105.7,200.7,4.79,423.1794500723589,2331.061896649631,2330.1797540208136,2107.7039560855574,2106.906338694418,4.003589877694975,0.023866467364225215
2006,3,104.83,2006-07-01,235600,254800,105.4,202.9,5.24,423.1794500723589,2247.4482495468856,2235.2941176470586,2430.6019269293142,2417.4573055028463,4.014985294804164,0.02582552981764416
2006,4,103.84,2006-10-01,245400,252500,107.3,201.9,5.25,423.1794500723589,2363.251155624037,2287.045666356011,2431.6255778120185,2353.215284249767,3.943890494616579,0.026002971768202078
2007,1,107.17,2007-01-01,257400,238700,107.9,203.437,5.25,437.46086956521737,2401.791546141644,2385.5421686746986,2227.3024167210974,2212.233549582947,4.054317604867631,0.02580651503905386
