year,sold_price_ind,date,mspus,msptfc,constr_price_ind,fmr_1,cpi,hpi,cpi_mspus,sold_corrected,cpi_sold,constr_corrected,sold_corrected_cash,constr_corrected_cash,fmr_corrected,sold_2cor
2018,129.83,2018-01-01,331800,328400,127.7,626.9253124560184,248.859,407.9143137254902,1333.2851132569044,2555.6496957559884,0.5217010435628208,2598.2772122161314,2529.4616036355233,2571.652310101801,4.909360316805156,3.141911066205732
2018,130.95,2018-04-01,315600,302000,129.5,626.9253124560184,250.227,414.9780392156863,1261.2547806591615,2410.08018327606,0.5233248210624752,2437.065637065637,2306.2237495227187,2332.046332046332,4.8411221039074785,3.1689808263893573
2018,132.47,2018-07-01,330900,383900,130.2,626.9253124560184,251.214,419.65686274509807,1317.2036590317418,2497.924058277346,0.5273193372980806,2541.4746543778806,2898.0146448252435,2948.540706605223,4.8150945657144275,3.1679388748025823
2018,135.11,2018-10-01,322800,334800,131.9,626.9253124560184,252.772,421.55313725490197,1277.0401785007834,2389.1643845755307,0.5345133163483298,2447.308567096285,2477.980904448227,2538.286580742987,4.753034969340549,3.1200735493664564
2019,129.85,2019-01-01,313000,318200,133.4,650.4847314527091,252.561,425.9313725490196,1239.3045640459136,2410.473623411629,0.5141332193014756,2346.326836581709,2450.519830573739,2385.3073463268365,4.876197387201717,3.280179996526913
2019,133.92,2019-04-01,322500,325400,133.1,650.4847314527091,255.233,433.10117647058826,1263.5513432824125,2408.1541218637994,0.5246970415267618,2422.9902329075885,2429.808841099164,2444.778362133734,4.887188065009084,3.2340290955091717
2019,137.66,2019-07-01,318400,369300,134.2,650.4847314527091,255.802,438.64019607843136,1244.7127074846953,2312.9449368008136,0.538150600855349,2372.5782414307005,2682.696498619788,2751.8628912071536,4.847129146443436,3.186402702879786
2019,137.13,2019-10-01,327100,324100,135.5,650.4847314527091,257.155,442.5986274509804,1271.9954891019036,2385.327791147087,0.5332581516983921,2414.0221402214024,2363.450740173558,2391.8819188191883,4.800625324374237,3.227584244519656
2020,135.71,2020-01-01,329000,310100,136.4,665.6049165125592,258.906,447.5562745098039,1270.7314623840311,2424.2870827499814,0.5241670722192611,2412.023460410557,2285.0195269324295,2273.460410557185,4.8798014407079116,3.2978872191423174
2020,137.47,2020-04-01,317100,365900,137.5,665.6049165125592,256.126,451.9613725490196,1238.0625161053545,2306.6850949298027,0.5367280166792907,2306.181818181818,2661.6716374481707,2661.090909090909,4.8407630291822485,3.287709118709679
2020,143.25,2020-07-01,327900,302100,140.1,665.6049165125592,258.408,459.96862745098036,1268.9235627379956,2289.005235602094,0.5543559022940466,2340.471092077088,2108.9005235602094,2156.316916488223,4.750927312723477,3.210950278889915
